sentiment_numeric,confidence,title_length,title_word_count,title_has_number,title_has_question,title_has_exclaim,has_comments_text,hour,day_of_week,is_weekend,is_peak_hour,topic_confidence,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,has_org_mention,org_mention_count,has_person_mention,flair_ADBLOCK WARNING,flair_Artificial Intelligence,flair_Biotechnology,flair_Business,flair_Comcast,flair_Crypto,flair_Energy,flair_Hardware,flair_Machine Learning,flair_Misleading,flair_Nanotech/Materials,flair_Net Neutrality,flair_Networking/Telecom,flair_Other,flair_Politics,flair_Privacy,flair_Robotics/Automation,flair_Security,flair_Social Media,flair_Society,flair_Software,flair_Space,flair_Transportation,viral
-1,0.65,86,11,0,0,0,0,14,1,0,1,0.6582,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
-1,0.5778,89,14,0,0,0,0,8,2,0,1,0.6853,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,0.7174,68,10,0,0,0,0,19,1,0,1,0.6092,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.8623,57,7,0,0,0,0,10,2,0,1,0.6583,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
-1,0.6275,86,12,0,0,0,0,17,1,0,1,0.6872,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
0,0.8387,71,12,1,0,0,0,8,2,0,1,0.4109,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.6648,87,14,0,0,0,0,11,1,0,1,0.7091,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
-1,0.4786,77,10,0,0,0,1,20,1,0,1,0.3477,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
0,0.5964,48,9,0,0,0,1,20,3,0,1,0.862,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7446,52,7,0,0,0,1,23,1,0,0,0.5792,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.6096,61,10,0,0,0,1,17,1,0,1,0.7189,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
-1,0.9074,204,31,0,0,0,1,2,2,0,0,0.566,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.6359,48,8,1,0,0,1,5,1,0,0,0.4481,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.4965,146,24,0,0,0,1,12,2,0,1,0.5497,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
0,0.8451,84,10,0,0,0,0,9,3,0,1,0.6134,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
0,0.5104,85,12,0,0,0,1,16,1,0,1,0.3945,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,8,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.7801,86,12,0,0,0,1,11,2,0,1,0.5607,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
-1,0.5856,32,6,0,0,0,1,17,2,0,1,0.716,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.7032,57,10,0,0,0,1,21,2,0,1,0.5739,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
-1,0.8598,223,37,0,0,0,1,4,2,0,0,0.6771,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
0,0.9035,63,9,0,0,0,0,18,2,0,1,0.5658,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0,0.8204,92,12,0,0,0,0,7,3,0,0,0.0667,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
-1,0.8065,80,11,0,0,0,1,9,1,0,1,0.349,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,0.9664,92,16,0,0,0,1,4,2,0,0,0.3664,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,9,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
